time;ap0;ap1;ap2;ap3
100.0;58;60;36;46
200.0;58;60;36;46
300.0;58;60;36;46
400.0;58;60;36;46
500.0;58;60;36;46
600.0;58;60;36;46
700.0;58;60;36;46
800.0;58;60;36;46
900.0;58;60;36;46
1000.0;58;60;36;46
1100.0;58;60;36;46
1200.0;58;60;36;46
1300.0;58;60;36;46
1400.0;58;60;36;46
1500.0;58;60;36;46
1600.0;58;60;36;46
1700.0;58;60;36;46
1800.0;58;60;36;46
1900.0;58;60;36;46
2000.0;58;60;36;46
2100.0;58;60;36;46
2200.0;58;60;36;46
2300.0;58;60;36;46
2400.0;58;60;36;46
2500.0;58;60;36;46
2600.0;58;60;36;46
2700.0;58;60;36;46
2800.0;58;60;36;46
2900.0;58;60;36;46
3000.0;58;60;36;46
3100.0;58;60;36;46
3200.0;58;60;36;46
3300.0;58;60;36;46
3400.0;58;60;36;46
3500.0;58;60;36;46
3600.0;58;60;36;46
3700.0;58;60;36;46
3800.0;58;60;36;46
3900.0;58;60;36;46
4000.0;58;60;36;46
4100.0;58;60;36;46
4200.0;58;60;36;46
4300.0;58;60;36;46
4400.0;58;60;36;46
4500.0;58;60;36;46
4600.0;58;60;36;46
4700.0;58;60;36;46
4800.0;58;60;36;46
4900.0;58;60;36;46
5000.0;58;60;36;46
5100.0;58;60;36;46
5200.0;58;60;36;46
5300.0;58;60;36;46
5400.0;58;60;36;46
5500.0;58;60;36;46
5600.0;58;60;36;46
5700.0;58;60;36;46
5800.0;58;60;36;46
5900.0;58;60;36;46
6000.0;58;60;36;46
6100.0;58;60;36;46
6200.0;58;60;36;46
6300.0;58;60;36;46
6400.0;58;60;36;46
6500.0;58;60;36;46
6600.0;58;60;36;46
6700.0;58;60;36;46
6800.0;58;60;36;46
6900.0;58;60;36;46
7000.0;58;60;36;46
7100.0;58;60;36;46
7200.0;58;60;36;46
7300.0;58;60;36;46
7400.0;58;60;36;46
7500.0;58;60;36;46
7600.0;58;60;36;46
7700.0;58;60;36;46
7800.0;58;59;36;47
7900.0;58;58;37;47
8000.0;58;58;37;47
8100.0;58;58;37;47
8200.0;58;58;37;47
8300.0;58;58;37;47
8400.0;58;58;37;47
8500.0;58;58;37;47
8600.0;58;58;37;47
8700.0;58;58;37;47
8800.0;58;58;37;47
8900.0;58;58;37;47
9000.0;58;58;37;47
9100.0;58;58;37;47
9200.0;58;58;37;47
9300.0;58;58;37;47
9400.0;58;58;37;47
9500.0;58;58;37;47
9600.0;58;58;37;47
9700.0;58;58;37;47
9800.0;58;58;37;47
9900.0;58;58;37;47
10000.0;58;58;37;47
10100.0;58;58;37;47
10200.0;58;58;37;47
10300.0;58;58;37;47
10400.0;58;58;37;47
10500.0;58;58;37;47
10600.0;58;58;37;47
10700.0;58;58;37;47
10800.0;58;58;37;47
10900.0;58;58;37;47
