time;load_on_edge;load_on_cloud;load_on_mobile
100.0;3.75;0.0;0.0
200.0;6.25;0.0;0.0
300.0;7.5;0.0;0.0
400.0;12.75;0.0;0.0
500.0;17.5;0.0;0.0
600.0;21.5;0.0;0.0
700.0;28.0;0.0;0.0
800.0;27.5;0.0;0.0
900.0;29.25;0.0;0.0
1000.0;33.0;0.0;0.0
1100.0;36.5;0.0;0.0
1200.0;40.25;0.0;0.0
1300.0;41.0;0.0;0.0
1400.0;41.25;0.0;0.0
1500.0;41.5;0.0;0.0
1600.0;37.25;0.0;0.0
1700.0;38.25;0.0;0.0
1800.0;40.75;0.0;0.0
1900.0;41.75;0.0;0.0
2000.0;36.5;0.0;0.0
2100.0;41.75;0.0;0.0
2200.0;44.0;0.0;0.0
2300.0;46.75;0.0;0.0
2400.0;48.25;0.0;0.0
2500.0;51.0;0.0;0.0
2600.0;48.25;0.0;0.0
2700.0;46.25;0.0;0.0
2800.0;46.75;0.0;0.0
2900.0;45.0;0.0;0.0
3000.0;46.5;0.0;0.0
3100.0;51.5;0.0;0.0
3200.0;52.25;0.0;0.0
3300.0;62.75;0.0;0.0
3400.0;59.75;0.0;0.0
3500.0;60.5;0.0;0.0
3600.0;60.75;0.0;0.0
3700.0;57.75;0.0;0.0
3800.0;60.0;0.0;0.0
3900.0;68.5;0.0;0.0
4000.0;65.0;0.0;0.0
4100.0;78.0;0.0;0.0
4200.0;70.0;0.0;0.0
4300.0;67.25;0.0;0.0
4400.0;61.25;0.0;0.0
4500.0;66.75;0.0;0.0
4600.0;70.0;0.0;0.0
4700.0;68.75;0.0;0.0
4800.0;80.5;0.0;0.0
4900.0;73.0;0.0;0.0
5000.0;78.75;0.0;0.0
5100.0;82.75;0.3;0.0
5200.0;86.5;0.75;0.0
5300.0;76.25;0.0;0.0
5400.0;75.75;0.0;0.0
5500.0;78.75;0.75;0.0
5600.0;77.5;0.75;0.0
5700.0;81.25;0.6000000000000001;0.0
5800.0;83.5;0.55;0.0
5900.0;77.0;0.25;0.0
6000.0;82.75;0.4;0.0
6100.0;80.5;0.3;0.0
6200.0;81.0;0.6;0.0
6300.0;81.25;0.85;0.0
6400.0;76.5;1.0;0.0
6500.0;79.0;1.15;0.0
6600.0;78.0;0.2;0.0
6700.0;79.75;1.4;0.0
6800.0;79.25;0.9;0.0
6900.0;79.5;0.75;0.0
7000.0;80.75;1.5;0.0
7100.0;83.75;1.9;0.0
7200.0;79.5;2.4;0.0
7300.0;81.0;1.65;0.0
7400.0;84.75;2.1;0.0
7500.0;79.5;2.05;0.0
7600.0;84.5;2.55;0.0
7700.0;81.5;1.5499999999999998;0.0
7800.0;84.75;1.4;0.0
7900.0;79.5;0.4;0.0
8000.0;77.25;1.25;0.0
8100.0;80.25;4.25;0.0
8200.0;72.5;1.5;0.0
8300.0;75.0;3.35;0.0
8400.0;81.0;2.95;0.0
8500.0;80.5;1.55;0.0
8600.0;80.25;1.05;0.0
8700.0;76.75;2.0;0.0
8800.0;76.5;2.4;0.0
8900.0;82.0;1.2999999999999998;0.0
9000.0;78.25;1.7;0.0
9100.0;84.0;2.2;0.0
9200.0;80.5;3.0;0.0
9300.0;80.5;2.9;0.0
9400.0;80.25;1.4000000000000001;0.0
9500.0;81.25;2.15;0.0
9600.0;81.75;2.7;0.0
9700.0;77.25;2.25;0.0
9800.0;80.75;1.85;0.0
9900.0;76.75;2.7;0.0
10000.0;79.75;3.0000000000000004;0.0
10100.0;80.0;2.0;0.0
10200.0;78.5;1.25;0.0
10300.0;81.5;2.2;0.0
10400.0;81.5;0.65;0.0
10500.0;83.25;1.2500000000000002;0.0
10600.0;78.25;3.2;0.0
10700.0;81.5;3.3;0.0
10800.0;86.0;2.25;0.0
10900.0;77.25;4.3500000000000005;0.0
