time;load_on_edge;load_on_cloud;load_on_mobile
100.0;8.75;0.0;0.0
200.0;13.5;0.0;0.0
300.0;17.5;0.0;0.0
400.0;32.25;0.0;0.0
500.0;40.0;0.0;0.0
600.0;44.0;0.0;0.0
700.0;53.0;0.0;0.0
800.0;56.25;0.0;0.0
900.0;67.0;0.0;0.0
1000.0;78.25;0.0;0.0
1100.0;80.0;0.3;0.0
1200.0;81.75;0.3;0.0
1300.0;81.25;0.7000000000000001;0.0
1400.0;79.5;1.25;0.0
1500.0;82.0;1.5499999999999998;0.0
1600.0;77.25;2.899999999999999;0.0
1700.0;79.5;1.05;0.0
1800.0;80.75;2.7499999999999996;0.0
1900.0;80.0;1.9999999999999996;0.0
2000.0;77.25;1.1;0.0
2100.0;81.0;2.5499999999999994;0.0
2200.0;79.5;5.250000000000002;0.0
2300.0;84.25;7.200000000000006;0.0
2400.0;81.25;7.600000000000008;0.0
2500.0;79.75;12.950000000000019;0.0
2600.0;79.75;18.7;0.0
2700.0;81.0;23.949999999999957;0.0
2800.0;79.5;24.049999999999958;0.0
2900.0;83.0;26.899999999999938;0.0
3000.0;81.0;29.94999999999994;0.0
3100.0;80.5;33.049999999999955;0.0
3200.0;81.25;37.14999999999996;0.0
3300.0;81.75;42.549999999999955;0.0
3400.0;82.0;44.94999999999993;0.0
3500.0;79.75;51.39999999999989;0.0
3600.0;84.25;48.9999999999999;0.0
3700.0;82.5;53.149999999999885;0.0
3800.0;81.5;51.0499999999999;0.0
3900.0;86.0;51.39999999999989;0.0
4000.0;76.0;52.64999999999989;0.0
4100.0;81.0;59.849999999999895;0.0
4200.0;89.0;55.399999999999885;0.0
4300.0;79.5;64.09999999999991;0.0
4400.0;80.75;66.5499999999999;0.0
4500.0;87.5;67.84999999999988;0.0
4600.0;79.5;74.04999999999984;0.0
4700.0;87.25;76.04999999999981;0.0
4800.0;80.0;73.49999999999983;0.0
4900.0;80.25;77.04999999999981;0.0
5000.0;84.5;76.7499999999998;0.0
5100.0;85.0;76.6499999999998;0.0
5200.0;81.75;77.4999999999998;0.0
5300.0;76.75;77.94999999999982;0.0
5400.0;79.75;81.3999999999998;0.0
5500.0;85.25;82.7999999999998;0.0
5600.0;83.0;89.89999999999984;0.0
5700.0;79.5;93.9999999999998;0.0
5800.0;80.5;99.54999999999976;0.0
5900.0;79.0;99.34999999999975;0.0
6000.0;80.5;98.49999999999974;0.0
6100.0;80.75;97.29999999999976;0.0
6200.0;82.0;99.29999999999976;0.0
6300.0;82.5;97.64999999999978;0.0
6400.0;82.75;98.29999999999977;0.0
6500.0;83.5;100.04999999999976;0.0
6600.0;85.25;99.89999999999974;0.0
6700.0;82.25;98.74999999999974;0.0
6800.0;80.5;99.99999999999974;0.0
6900.0;80.75;99.19999999999975;0.0
7000.0;79.5;99.64999999999975;0.0
7100.0;86.0;99.69999999999975;0.0
7200.0;92.75;98.79999999999974;0.0
7300.0;86.75;99.89999999999974;0.0
7400.0;84.75;99.94999999999975;0.0
7500.0;85.5;99.94999999999973;0.0
7600.0;81.25;98.49999999999976;0.0
7700.0;81.25;99.64999999999974;0.0
7800.0;81.5;99.94999999999975;0.0
7900.0;89.5;99.94999999999973;0.0
8000.0;78.5;99.79999999999976;0.0
8100.0;80.75;99.29999999999976;0.0
8200.0;79.5;99.24999999999974;0.0
8300.0;83.25;97.89999999999975;0.0
8400.0;90.75;99.79999999999974;0.0
8500.0;86.25;99.74999999999974;0.0
8600.0;79.5;99.59999999999974;0.0
8700.0;80.5;99.79999999999974;0.0
8800.0;85.5;99.79999999999974;0.0
8900.0;81.25;98.24999999999974;0.0
9000.0;87.25;99.89999999999974;0.0
9100.0;84.25;99.89999999999974;0.0
9200.0;79.75;98.39999999999975;0.0
9300.0;87.25;99.84999999999974;0.0
9400.0;90.25;98.99999999999976;0.0
9500.0;89.5;99.39999999999975;0.0
9600.0;84.0;99.74999999999973;0.0
9700.0;79.75;99.89999999999972;0.0
9800.0;84.5;99.84999999999972;0.0
9900.0;80.25;99.74999999999973;0.0
10000.0;81.0;99.69999999999973;0.0
10100.0;80.0;99.69999999999972;0.0
10200.0;90.0;99.99999999999974;0.0
10300.0;80.75;99.64999999999974;0.0
10400.0;86.25;99.54999999999973;0.0
10500.0;85.0;99.54999999999974;0.0
10600.0;79.5;99.74999999999973;0.0
10700.0;83.25;99.69999999999973;0.0
10800.0;80.5;99.99999999999973;0.0
10900.0;82.0;100.04999999999974;0.0
