time;ap0;ap1;ap2;ap3
100.0;541;561;528;570
200.0;541;562;527;570
300.0;541;562;527;570
400.0;541;562;527;570
500.0;541;562;527;570
600.0;541;562;527;570
700.0;541;562;527;570
800.0;541;562;527;570
900.0;541;562;527;570
1000.0;542;561;527;570
1100.0;542;561;527;570
1200.0;542;561;527;570
1300.0;542;561;527;570
1400.0;542;561;527;570
1500.0;542;561;527;570
1600.0;542;560;527;571
1700.0;542;560;528;570
1800.0;541;561;528;570
1900.0;541;562;528;569
2000.0;541;562;528;569
2100.0;541;562;528;569
2200.0;540;562;528;570
2300.0;540;562;528;570
2400.0;541;562;527;570
2500.0;542;562;526;570
2600.0;542;562;526;570
2700.0;542;562;526;570
2800.0;542;562;526;570
2900.0;542;561;526;571
3000.0;542;561;526;571
3100.0;542;561;526;571
3200.0;543;561;526;570
3300.0;543;561;526;570
3400.0;543;561;526;570
3500.0;543;561;526;570
3600.0;543;561;526;570
3700.0;543;561;526;570
3800.0;543;561;526;570
3900.0;543;562;525;570
4000.0;543;562;525;570
4100.0;543;562;525;570
4200.0;543;562;525;570
4300.0;543;562;525;570
4400.0;543;562;524;571
4500.0;543;562;524;571
4600.0;543;562;523;572
4700.0;543;562;523;572
4800.0;543;562;523;572
4900.0;543;562;523;572
5000.0;543;562;523;572
5100.0;543;562;523;572
5200.0;543;562;523;572
5300.0;543;562;523;572
5400.0;543;562;523;572
5500.0;543;562;523;572
5600.0;542;562;522;574
5700.0;542;562;522;574
5800.0;542;563;521;574
5900.0;542;563;521;574
6000.0;542;563;521;574
6100.0;542;563;521;574
6200.0;542;563;521;574
6300.0;542;563;521;574
6400.0;542;563;520;575
6500.0;542;563;521;574
6600.0;542;563;521;574
6700.0;542;563;521;574
6800.0;542;563;521;574
6900.0;542;563;521;574
7000.0;542;562;521;575
7100.0;542;562;521;575
7200.0;542;561;522;575
7300.0;542;561;522;575
7400.0;542;561;522;575
7500.0;543;560;522;575
7600.0;543;560;523;574
7700.0;543;560;523;574
7800.0;542;560;524;574
7900.0;542;560;524;574
8000.0;542;560;524;574
8100.0;542;560;524;574
8200.0;542;560;524;574
8300.0;542;560;524;574
8400.0;542;560;524;574
8500.0;542;560;524;574
8600.0;542;560;524;574
8700.0;542;560;524;574
8800.0;542;560;524;574
8900.0;541;561;523;575
9000.0;541;561;523;575
9100.0;541;561;522;576
9200.0;541;561;522;576
9300.0;541;561;522;576
9400.0;541;561;521;577
9500.0;541;561;519;579
9600.0;542;561;518;579
9700.0;543;561;517;579
9800.0;543;561;517;579
9900.0;543;561;518;578
10000.0;543;561;518;578
10100.0;543;561;518;578
10200.0;543;561;518;578
10300.0;543;561;517;579
10400.0;543;561;517;579
10500.0;543;561;517;579
10600.0;543;561;517;579
10700.0;543;561;517;579
10800.0;543;561;516;580
10900.0;543;561;516;580
