time;ap0;ap1;ap2;ap3
100.0;445;431;456;468
200.0;445;431;456;468
300.0;445;431;456;468
400.0;445;431;456;468
500.0;445;431;456;468
600.0;445;431;456;468
700.0;445;431;456;468
800.0;445;432;456;467
900.0;446;432;455;467
1000.0;447;431;456;466
1100.0;447;431;456;466
1200.0;447;431;456;466
1300.0;447;431;456;466
1400.0;447;431;456;466
1500.0;447;431;456;466
1600.0;446;431;456;467
1700.0;446;431;456;467
1800.0;445;431;456;468
1900.0;444;431;457;468
2000.0;444;431;457;468
2100.0;443;431;458;468
2200.0;443;431;458;468
2300.0;443;431;458;468
2400.0;444;431;457;468
2500.0;443;431;457;469
2600.0;443;431;457;469
2700.0;443;431;457;469
2800.0;444;431;457;468
2900.0;444;431;457;468
3000.0;444;431;457;468
3100.0;444;431;457;468
3200.0;444;431;457;468
3300.0;444;431;457;468
3400.0;444;431;457;468
3500.0;445;431;457;467
3600.0;445;431;457;467
3700.0;445;431;457;467
3800.0;445;431;457;467
3900.0;445;431;457;467
4000.0;445;431;457;467
4100.0;446;431;457;466
4200.0;446;432;457;465
4300.0;446;432;457;465
4400.0;447;432;457;464
4500.0;447;432;457;464
4600.0;447;432;457;464
4700.0;447;432;457;464
4800.0;447;432;457;464
4900.0;447;432;457;464
5000.0;447;431;457;465
5100.0;447;431;457;465
5200.0;448;431;458;463
5300.0;448;430;459;463
5400.0;448;430;459;463
5500.0;449;429;459;463
5600.0;449;429;459;463
5700.0;449;429;459;463
5800.0;449;429;459;463
5900.0;449;429;459;463
6000.0;448;429;459;464
6100.0;448;429;459;464
6200.0;448;429;459;464
6300.0;448;429;459;464
6400.0;448;429;459;464
6500.0;448;429;459;464
6600.0;448;429;459;464
6700.0;448;430;459;463
6800.0;448;431;458;463
6900.0;448;432;457;463
7000.0;448;432;456;464
7100.0;448;432;456;464
7200.0;450;432;456;462
7300.0;449;432;457;462
7400.0;449;432;457;462
7500.0;449;432;457;462
7600.0;449;432;457;462
7700.0;450;433;455;462
7800.0;450;432;456;462
7900.0;450;432;456;462
8000.0;450;432;456;462
8100.0;450;432;456;462
8200.0;450;432;456;462
8300.0;450;432;456;462
8400.0;450;432;456;462
8500.0;450;432;456;462
8600.0;451;432;455;462
8700.0;451;432;455;462
8800.0;451;432;455;462
8900.0;450;433;455;462
9000.0;450;433;455;462
9100.0;450;433;455;462
9200.0;450;433;455;462
9300.0;450;433;455;462
9400.0;451;433;455;461
9500.0;451;433;455;461
9600.0;451;433;455;461
9700.0;451;433;455;461
9800.0;452;433;454;461
9900.0;452;433;454;461
10000.0;452;433;454;461
10100.0;452;433;454;461
10200.0;451;433;455;461
10300.0;451;432;456;461
10400.0;451;432;456;461
10500.0;452;431;456;461
10600.0;452;431;455;462
10700.0;452;430;455;463
10800.0;451;430;456;463
10900.0;451;430;456;463
