time;ap0;ap1;ap2;ap3
100.0;415;398;396;391
200.0;415;398;396;391
300.0;415;398;396;391
400.0;415;398;396;391
500.0;414;400;396;390
600.0;414;400;396;390
700.0;414;400;396;390
800.0;414;400;396;390
900.0;414;400;396;390
1000.0;414;400;396;390
1100.0;414;400;396;390
1200.0;414;400;396;390
1300.0;415;399;396;390
1400.0;416;399;396;389
1500.0;416;399;396;389
1600.0;416;399;396;389
1700.0;416;399;396;389
1800.0;417;399;395;389
1900.0;416;399;396;389
2000.0;414;399;399;388
2100.0;415;399;399;387
2200.0;414;400;399;387
2300.0;414;400;399;387
2400.0;414;401;398;387
2500.0;414;401;398;387
2600.0;414;401;398;387
2700.0;414;401;398;387
2800.0;414;401;398;387
2900.0;415;401;398;386
3000.0;415;401;399;385
3100.0;414;401;400;385
3200.0;414;401;400;385
3300.0;414;401;399;386
3400.0;414;401;399;386
3500.0;414;401;399;386
3600.0;414;401;399;386
3700.0;414;401;399;386
3800.0;414;401;399;386
3900.0;414;402;398;386
4000.0;414;402;398;386
4100.0;414;402;398;386
4200.0;414;402;399;385
4300.0;414;402;399;385
4400.0;415;401;399;385
4500.0;414;402;399;385
4600.0;414;402;399;385
4700.0;414;402;399;385
4800.0;414;402;400;384
4900.0;414;402;400;384
5000.0;415;402;399;384
5100.0;415;402;399;384
5200.0;415;402;399;384
5300.0;415;402;398;385
5400.0;414;402;398;386
5500.0;414;403;397;386
5600.0;414;402;397;387
5700.0;414;402;397;387
5800.0;414;402;397;387
5900.0;414;402;397;387
6000.0;413;403;397;387
6100.0;413;403;397;387
6200.0;413;402;398;387
6300.0;412;402;399;387
6400.0;412;402;399;387
6500.0;412;402;399;387
6600.0;412;402;399;387
6700.0;412;402;399;387
6800.0;412;402;399;387
6900.0;412;402;399;387
7000.0;412;402;399;387
7100.0;412;402;399;387
7200.0;412;402;399;387
7300.0;411;402;400;387
7400.0;411;402;400;387
7500.0;411;402;400;387
7600.0;411;402;400;387
7700.0;411;402;400;387
7800.0;410;403;400;387
7900.0;410;403;400;387
8000.0;410;403;401;386
8100.0;410;402;402;386
8200.0;410;403;401;386
8300.0;410;403;401;386
8400.0;410;403;401;386
8500.0;410;403;401;386
8600.0;410;403;401;386
8700.0;410;403;402;385
8800.0;411;403;401;385
8900.0;411;403;401;385
9000.0;411;403;401;385
9100.0;411;403;401;385
9200.0;412;402;401;385
9300.0;411;403;400;386
9400.0;411;403;400;386
9500.0;411;403;400;386
9600.0;411;403;400;386
9700.0;411;403;400;386
9800.0;411;403;400;386
9900.0;411;403;400;386
10000.0;411;403;400;386
10100.0;411;403;400;386
10200.0;411;403;400;386
10300.0;411;403;400;386
10400.0;411;403;400;386
10500.0;411;403;400;386
10600.0;412;403;399;386
10700.0;412;403;399;386
10800.0;412;403;399;386
10900.0;411;404;399;386
