time;ap0;ap1;ap2;ap3
100.0;473;506;523;498
200.0;473;506;523;498
300.0;473;506;523;498
400.0;473;506;523;498
500.0;473;506;523;498
600.0;473;506;523;498
700.0;473;506;523;498
800.0;473;504;524;499
900.0;473;504;524;499
1000.0;472;505;524;499
1100.0;472;505;524;499
1200.0;472;504;525;499
1300.0;472;503;526;499
1400.0;472;503;526;499
1500.0;472;503;526;499
1600.0;472;503;526;499
1700.0;472;503;526;499
1800.0;472;502;527;499
1900.0;472;502;527;499
2000.0;472;502;527;499
2100.0;473;501;527;499
2200.0;473;501;527;499
2300.0;473;501;527;499
2400.0;473;501;527;499
2500.0;473;502;526;499
2600.0;472;502;526;500
2700.0;472;502;526;500
2800.0;472;502;526;500
2900.0;472;501;526;501
3000.0;472;501;526;501
3100.0;472;502;525;501
3200.0;473;502;524;501
3300.0;473;502;524;501
3400.0;472;502;525;501
3500.0;472;502;525;501
3600.0;472;502;524;502
3700.0;472;502;524;502
3800.0;472;503;523;502
3900.0;472;503;523;502
4000.0;472;503;523;502
4100.0;472;503;523;502
4200.0;470;503;524;503
4300.0;470;503;524;503
4400.0;469;503;525;503
4500.0;469;503;525;503
4600.0;469;503;525;503
4700.0;468;503;526;503
4800.0;468;504;526;502
4900.0;467;505;526;502
5000.0;466;505;526;503
5100.0;466;505;526;503
5200.0;466;505;526;503
5300.0;466;505;526;503
5400.0;466;505;526;503
5500.0;466;504;527;503
5600.0;466;504;527;503
5700.0;466;504;527;503
5800.0;466;504;528;502
5900.0;466;504;528;502
6000.0;466;505;527;502
6100.0;466;505;527;502
6200.0;466;505;527;502
6300.0;466;505;527;502
6400.0;466;505;527;502
6500.0;466;505;527;502
6600.0;466;505;527;502
6700.0;467;504;528;501
6800.0;468;503;527;502
6900.0;467;503;527;503
7000.0;467;503;527;503
7100.0;467;503;527;503
7200.0;468;503;527;502
7300.0;469;502;527;502
7400.0;468;503;527;502
7500.0;468;503;527;502
7600.0;468;503;527;502
7700.0;468;503;527;502
7800.0;467;503;528;502
7900.0;467;503;528;502
8000.0;467;503;528;502
8100.0;467;503;528;502
8200.0;467;504;528;501
8300.0;467;504;528;501
8400.0;467;504;528;501
8500.0;467;504;527;502
8600.0;468;504;526;502
8700.0;468;504;526;502
8800.0;468;504;526;502
8900.0;468;503;527;502
9000.0;468;503;527;502
9100.0;468;503;527;502
9200.0;468;503;527;502
9300.0;469;503;526;502
9400.0;469;503;526;502
9500.0;469;503;526;502
9600.0;470;503;525;502
9700.0;470;503;525;502
9800.0;469;503;525;503
9900.0;469;503;525;503
10000.0;469;503;525;503
10100.0;469;503;525;503
10200.0;469;503;525;503
10300.0;470;502;525;503
10400.0;470;502;525;503
10500.0;470;502;525;503
10600.0;469;502;526;503
10700.0;469;502;526;503
10800.0;469;502;526;503
10900.0;468;502;527;503
