time;wlan;wan;man
100.0;0.158;0.0;0.124
200.0;0.451;0.0;0.164
300.0;0.246;0.0;0.123
400.0;1.435;0.0;1.312
500.0;0.558;0.0;0.394
600.0;0.41;0.0;0.246
700.0;2.75;0.434;2.709
800.0;0.538;0.799;0.251
900.0;0.136;3.342;0.041
1000.0;0.472;3.413;0.472
1100.0;1.116;7.361;1.116
1200.0;0.258;2.849;0.053
1300.0;0.123;4.095;0.0
1400.0;0.082;3.496;0.041
1500.0;0.168;3.428;0.086
1600.0;0.041;3.967;0.0
1700.0;0.041;3.519;0.0
1800.0;0.704;5.595;0.622
1900.0;0.205;6.032;0.164
2000.0;0.237;4.448;0.114
2100.0;2.003;4.918;1.921
2200.0;0.123;5.985;0.082
2300.0;0.111;7.131;0.07
2400.0;4.007;8.402;3.966
2500.0;0.0;6.927;0.0
2600.0;0.041;12.227;0.0
2700.0;0.041;6.904;0.0
2800.0;0.041;7.787;0.0
2900.0;0.263;6.263;0.222
3000.0;0.314;8.701;0.109
3100.0;0.128;9.581;0.0
3200.0;0.0;12.663;0.0
3300.0;0.082;9.964;0.041
3400.0;0.369;14.98;0.123
3500.0;0.246;22.193;0.041
3600.0;3.278;10.23;2.991
3700.0;2.539;8.862;2.457
3800.0;0.246;9.278;0.164
3900.0;0.301;12.678;0.123
4000.0;0.373;11.374;0.25
4100.0;0.205;13.832;0.082
4200.0;0.0;14.978;0.0
4300.0;0.082;15.016;0.082
4400.0;1.726;17.792;1.726
4500.0;0.082;20.668;0.0
4600.0;0.041;16.626;0.0
4700.0;0.041;18.531;0.0
4800.0;0.0;17.866;0.0
4900.0;0.082;15.738;0.0
5000.0;0.552;14.565;0.347
5100.0;0.246;18.117;0.082
5200.0;0.164;16.151;0.0
5300.0;0.164;14.843;0.0
5400.0;0.041;18.096;0.0
5500.0;0.041;19.755;0.041
5600.0;0.0;17.023;0.0
5700.0;0.164;17.032;0.041
5800.0;0.205;15.144;0.082
5900.0;0.084;10.939;0.0
6000.0;0.09;17.635;0.008
6100.0;0.284;16.413;0.284
6200.0;0.041;17.325;0.0
6300.0;1.787;12.44;1.787
6400.0;0.205;14.473;0.123
6500.0;0.082;18.566;0.0
6600.0;0.041;16.963;0.0
6700.0;0.246;17.986;0.123
6800.0;0.82;24.031;0.328
6900.0;0.123;18.548;0.082
7000.0;0.574;20.937;0.328
7100.0;0.041;14.272;0.0
7200.0;0.041;19.96;0.0
7300.0;0.082;19.053;0.0
7400.0;0.0;17.103;0.0
7500.0;0.0;14.229;0.0
7600.0;0.183;13.377;0.101
7700.0;0.041;15.341;0.0
7800.0;0.0;14.862;0.0
7900.0;0.164;16.18;0.041
8000.0;0.788;22.722;0.579
8100.0;0.205;20.976;0.041
8200.0;0.574;15.449;0.205
8300.0;0.287;14.852;0.123
8400.0;0.082;12.491;0.0
8500.0;0.328;17.196;0.123
8600.0;0.082;14.421;0.0
8700.0;0.213;17.684;0.09
8800.0;0.164;15.23;0.0
8900.0;1.419;18.176;0.164
9000.0;0.574;20.213;0.164
9100.0;1.271;16.766;0.82
9200.0;0.164;13.741;0.0
9300.0;0.205;16.147;0.0
9400.0;0.615;25.621;0.246
9500.0;0.041;15.795;0.0
9600.0;0.287;13.432;0.164
9700.0;0.287;22.728;0.082
9800.0;1.472;12.31;1.061
9900.0;1.017;18.082;0.566
10000.0;0.328;23.543;0.164
10100.0;1.299;17.089;1.094
10200.0;0.246;15.133;0.0
10300.0;0.164;14.752;0.082
10400.0;0.205;12.637;0.123
10500.0;1.077;12.339;0.995
10600.0;1.987;14.604;1.185
10700.0;0.369;15.782;0.082
10800.0;0.697;15.392;0.082
10900.0;0.451;11.773;0.041
