100.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
200.0;0.0;0.0;0.0;0.0;0.0;0.0;6.0;0.0
300.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
400.0;0.0;0.0;0.0;2.0;0.0;0.0;10.0;0.0
500.0;0.0;0.0;6.0;8.0;6.0;8.0;10.0;6.0
600.0;0.0;0.0;18.0;0.0;6.0;8.0;10.0;0.0
700.0;0.0;0.0;18.0;12.0;6.0;2.0;10.0;6.0
800.0;0.0;6.0;36.0;30.0;6.0;2.0;10.0;2.0
900.0;6.0;0.0;32.0;30.0;6.0;2.0;10.0;6.0
1000.0;0.0;0.0;62.0;60.0;6.0;4.0;10.0;6.0
1100.0;12.0;12.0;68.0;66.0;12.0;14.0;16.0;18.0
1200.0;0.0;18.0;68.0;66.0;12.0;20.0;16.0;12.0
1300.0;6.0;6.0;68.0;66.0;8.0;14.0;10.0;6.0
1400.0;18.0;12.0;72.0;66.0;20.0;8.0;16.0;12.0
1500.0;18.0;18.0;72.0;66.0;20.0;8.0;16.0;12.0
1600.0;18.0;18.0;66.0;66.0;14.0;14.0;18.0;18.0
1700.0;12.0;12.0;72.0;60.0;8.0;8.0;12.0;12.0
1800.0;12.0;12.0;66.0;70.0;26.0;8.0;16.0;18.0
1900.0;24.0;18.0;66.0;70.0;6.0;8.0;22.0;24.0
2000.0;18.0;6.0;66.0;70.0;12.0;14.0;12.0;18.0
2100.0;12.0;12.0;70.0;70.0;6.0;6.0;18.0;12.0
2200.0;24.0;12.0;70.0;64.0;6.0;0.0;12.0;12.0
2300.0;18.0;12.0;70.0;64.0;6.0;6.0;18.0;18.0
2400.0;18.0;18.0;64.0;62.0;24.0;6.0;6.0;12.0
2500.0;24.0;24.0;70.0;68.0;0.0;6.0;18.0;18.0
2600.0;24.0;24.0;70.0;68.0;18.0;6.0;18.0;12.0
2700.0;30.0;30.0;64.0;68.0;2.0;12.0;0.0;18.0
2800.0;30.0;30.0;70.0;64.0;26.0;18.0;30.0;30.0
2900.0;42.0;30.0;70.0;64.0;0.0;0.0;18.0;18.0
3000.0;48.0;36.0;70.0;64.0;30.0;18.0;18.0;18.0
3100.0;42.0;36.0;68.0;60.0;36.0;30.0;30.0;32.0
3200.0;56.0;36.0;68.0;70.0;34.0;36.0;18.0;18.0
3300.0;68.0;66.0;68.0;70.0;42.0;36.0;32.0;42.0
3400.0;68.0;66.0;68.0;66.0;54.0;36.0;30.0;38.0
3500.0;68.0;66.0;70.0;66.0;66.0;60.0;44.0;62.0
